S. No.,Lattitude,Longitude,Pothole,Severity,Ranking
6,13.0893 ,77.5080,32,2,64
15,12.9872 ,77.6832,31,3,61
16,13.0070 ,77.7228,23,3,75
31,13.0527 ,77.7448,27,1,66
35,12.9394 ,77.6312,35,4,73
50,12.9128 ,77.6517,15,5,77
55,13.0034 ,77.7227,32,1,53
61,12.9432 ,77.4999,33,3,77
70,13.0508 ,77.5204,31,5,70
71,12.9478 ,77.7116,33,3,55
80,13.0003 ,77.6964,15,3,58
86,12.9134 ,77.7078,30,2,61
88,12.9306 ,77.7017,18,4,63
90,12.8569 ,77.7060,31,4,56
94,13.0925 ,77.5240,32,3,54
128,13.0031 ,77.6021,19,3,55
146,13.0307 ,77.7026,15,5,62
150,12.8441 ,77.7382,18,4,62
152,12.8769 ,77.5176,33,4,57
160,12.8597 ,77.6853,22,3,61
169,13.0474 ,77.6251,18,4,54
170,13.0797 ,77.7161,33,5,76
184,12.9022 ,77.5540,15,3,66
187,13.0912 ,77.7258,32,2,66
190,13.0541 ,77.6729,32,2,77
195,12.9798 ,77.5777,30,3,68
205,12.9312 ,77.5642,22,4,75
211,12.8688 ,77.5680,26,2,64
212,13.0730 ,77.7170,23,4,53
217,12.9326 ,77.7093,22,2,62
218,12.8691 ,77.6314,31,5,64
239,12.9950 ,77.6940,27,5,54
271,12.8881 ,77.5068,29,4,72
284,13.0521 ,77.5577,19,1,67
285,12.8443 ,77.6819,18,5,67
294,12.8954 ,77.7116,22,1,65
300,13.0413 ,77.5768,15,3,55
310,12.8422 ,77.5221,27,5,73
325,12.8692 ,77.6876,30,4,65
327,12.9991 ,77.5136,17,4,60
328,13.0906 ,77.5300,22,4,74
335,12.9284 ,77.6574,33,5,68
359,12.9703 ,77.6916,33,1,55
364,12.9687 ,77.5909,30,3,59
368,13.0339 ,77.7383,21,1,77
378,13.0961 ,77.6879,18,4,62
386,12.9715 ,77.7306,26,1,64
388,12.9447 ,77.6026,24,5,67
401,12.9522 ,77.5734,22,1,64
416,13.0152 ,77.6711,26,3,55
